config,file,project,type,model,test_precision,test_recall,test_accuracy,test_f1,test_fp,test_fn,test_tp,test_tn,test_auc
220069,CSV,Netflix-eureka,design,GaussianNaiveBayesModel,0.70,0.30,0.61,0.39,40,4,31,13,0.60
220069,CSV,Netflix-eureka,design,GradientBoostingRegressorModel,0.78,0.68,0.72,0.70,33,11,14,30,0.72
220069,CSV,Spring-boot,implementation,LinearSVMModel,0.51,0.48,0.54,0.45,29,18,25,22,0.55
220069,CSV,Spring-boot,implementation,RandomForestModel,0.69,0.70,0.67,0.69,30,17,14,33,0.68
220069,CSV,Spring-boot,implementation,DecisionTreeModel,0.68,0.51,0.65,0.55,37,10,23,24,0.64
220069,CSV,Spring-boot,implementation,LogisticRegressionModel,0.48,0.36,0.50,0.40,30,17,30,17,0.50
220069,CSV,Spring-boot,implementation,GaussianNaiveBayesModel,0.57,0.35,0.52,0.40,33,14,31,16,0.53
220069,CSV,Spring-boot,implementation,GradientBoostingRegressorModel,0.66,0.62,0.63,0.60,30,17,18,29,0.62
220069,CSV,Spring-boot,design,LinearSVMModel,0.46,0.66,0.50,0.53,15,28,15,28,0.51
220069,CSV,Spring-boot,design,RandomForestModel,0.52,0.51,0.51,0.50,22,21,21,22,0.51
220069,CSV,Spring-boot,design,DecisionTreeModel,0.59,0.35,0.51,0.41,29,14,28,15,0.52
220069,CSV,Spring-boot,design,LogisticRegressionModel,0.55,0.70,0.56,0.61,18,25,13,30,0.56
220069,CSV,Spring-boot,design,GaussianNaiveBayesModel,0.47,0.57,0.51,0.50,19,24,18,25,0.51
220069,CSV,Spring-boot,design,GradientBoostingRegressorModel,0.48,0.47,0.49,0.47,22,21,23,20,0.48
220069,CSV,Spring-security,implementation,LinearSVMModel,0.70,0.29,0.58,0.40,208,31,170,69,0.58
220069,CSV,Spring-security,implementation,RandomForestModel,0.61,0.44,0.58,0.50,173,66,135,104,0.58
220069,CSV,Spring-security,implementation,DecisionTreeModel,0.66,0.41,0.58,0.49,181,58,141,98,0.58
220069,CSV,Spring-security,implementation,LogisticRegressionModel,0.57,0.50,0.56,0.53,149,90,119,120,0.56
220069,CSV,Spring-security,implementation,GaussianNaiveBayesModel,0.63,0.26,0.55,0.36,201,38,177,62,0.55
220069,CSV,Spring-security,implementation,GradientBoostingRegressorModel,0.60,0.51,0.58,0.55,155,84,117,122,0.58
220069,CSV,Spring-security,design,LinearSVMModel,0.65,0.18,0.55,0.28,180,18,162,36,0.55
220069,CSV,Spring-security,design,RandomForestModel,0.55,0.57,0.55,0.56,103,95,85,113,0.55
220069,CSV,Spring-security,design,DecisionTreeModel,0.54,0.52,0.54,0.52,110,88,95,103,0.54
220069,CSV,Spring-security,design,LogisticRegressionModel,0.56,0.36,0.54,0.43,142,56,127,71,0.54
220069,CSV,Spring-security,design,GaussianNaiveBayesModel,0.70,0.29,0.58,0.40,172,26,141,57,0.58
220069,CSV,Spring-security,design,GradientBoostingRegressorModel,0.58,0.56,0.58,0.57,121,77,88,110,0.58

