config,file,project,type,model,test_precision,test_recall,test_accuracy,test_f1,test_fp,test_fn,test_tp,test_tn,test_auc
887291,CSV,Netflix-Hystrix,implementation,LogisticRegressionModel,0.67,0.52,0.63,0.58,58,19,37,40,0.64
887291,CSV,Netflix-Hystrix,implementation,GaussianNaiveBayesModel,0.53,0.94,0.51,0.65,7,70,5,72,0.51
887291,CSV,Netflix-Hystrix,implementation,GradientBoostingRegressorModel,0.75,0.54,0.66,0.61,59,18,35,42,0.66
887291,CSV,Netflix-Hystrix,design,LinearSVMModel,0.81,0.52,0.69,0.62,59,10,33,36,0.69
887291,CSV,Netflix-Hystrix,design,RandomForestModel,0.75,0.72,0.72,0.72,50,19,19,50,0.72
887291,CSV,Netflix-Hystrix,design,DecisionTreeModel,0.77,0.58,0.69,0.64,55,14,29,40,0.69
887291,CSV,Netflix-Hystrix,design,LogisticRegressionModel,0.76,0.54,0.68,0.61,57,12,32,37,0.68
887291,CSV,Netflix-Hystrix,design,GaussianNaiveBayesModel,0.52,0.97,0.52,0.67,5,64,2,67,0.52
887291,CSV,Netflix-Hystrix,design,GradientBoostingRegressorModel,0.69,0.63,0.67,0.65,50,19,26,43,0.68
887291,CSV,Netflix-conductor,implementation,LinearSVMModel,0.74,0.24,0.57,0.36,199,22,167,54,0.57
887291,CSV,Netflix-conductor,implementation,RandomForestModel,0.68,0.56,0.65,0.61,162,59,98,123,0.65
887291,CSV,Netflix-conductor,implementation,DecisionTreeModel,0.64,0.48,0.60,0.55,161,60,115,106,0.60
887291,CSV,Netflix-conductor,implementation,LogisticRegressionModel,0.64,0.43,0.60,0.51,167,54,125,96,0.60
887291,CSV,Netflix-conductor,implementation,GaussianNaiveBayesModel,0.63,0.49,0.58,0.52,149,72,113,108,0.58
887291,CSV,Netflix-conductor,implementation,GradientBoostingRegressorModel,0.66,0.52,0.62,0.57,161,60,107,114,0.62
887291,CSV,Netflix-conductor,design,LinearSVMModel,0.54,0.31,0.53,0.38,95,33,88,40,0.53
887291,CSV,Netflix-conductor,design,RandomForestModel,0.62,0.57,0.61,0.59,83,45,55,73,0.61
887291,CSV,Netflix-conductor,design,DecisionTreeModel,0.64,0.64,0.62,0.63,77,51,46,82,0.62
887291,CSV,Netflix-conductor,design,LogisticRegressionModel,0.61,0.43,0.58,0.50,94,34,73,55,0.58
887291,CSV,Netflix-conductor,design,GaussianNaiveBayesModel,0.64,0.31,0.57,0.40,107,21,88,40,0.57
887291,CSV,Netflix-conductor,design,GradientBoostingRegressorModel,0.62,0.59,0.61,0.60,81,47,53,75,0.61
887291,CSV,Netflix-eureka,implementation,LinearSVMModel,0.64,0.30,0.58,0.39,53,9,43,19,0.58
887291,CSV,Netflix-eureka,implementation,RandomForestModel,0.76,0.38,0.62,0.46,53,9,38,24,0.62
887291,CSV,Netflix-eureka,implementation,DecisionTreeModel,0.79,0.36,0.63,0.48,56,6,40,22,0.63
887291,CSV,Netflix-eureka,implementation,LogisticRegressionModel,0.56,0.38,0.53,0.43,43,19,39,23,0.54
887291,CSV,Netflix-eureka,implementation,GaussianNaiveBayesModel,0.78,0.35,0.62,0.47,55,7,40,22,0.62
887291,CSV,Netflix-eureka,implementation,GradientBoostingRegressorModel,0.69,0.44,0.61,0.51,49,13,35,27,0.61
887291,CSV,Netflix-eureka,design,LinearSVMModel,0.71,0.61,0.68,0.63,33,11,17,27,0.68
887291,CSV,Netflix-eureka,design,RandomForestModel,0.68,0.58,0.62,0.59,29,15,18,26,0.62
887291,CSV,Netflix-eureka,design,DecisionTreeModel,0.73,0.52,0.64,0.56,33,11,21,23,0.63
887291,CSV,Netflix-eureka,design,LogisticRegressionModel,0.68,0.55,0.66,0.59,33,11,19,25,0.65
887291,CSV,Netflix-eureka,design,GaussianNaiveBayesModel,0.52,0.98,0.52,0.67,3,41,1,43,0.53
887291,CSV,Netflix-eureka,design,GradientBoostingRegressorModel,0.52,0.52,0.51,0.50,22,22,21,23,0.51

