config,file,project,type,model,test_precision,test_recall,test_accuracy,test_f1,test_fp,test_fn,test_tp,test_tn,test_auc
948809,CSV,Netflix-conductor,design,GaussianNaiveBayesModel,0.77,0.35,0.62,0.47,113,15,83,45,0.62
948809,CSV,Netflix-conductor,design,GradientBoostingRegressorModel,0.62,0.61,0.61,0.61,78,50,50,78,0.61
948809,CSV,Netflix-eureka,implementation,LinearSVMModel,0.68,0.26,0.61,0.36,59,3,46,16,0.61
948809,CSV,Netflix-eureka,implementation,RandomForestModel,0.75,0.65,0.71,0.68,48,14,22,40,0.71
948809,CSV,Netflix-eureka,implementation,DecisionTreeModel,0.78,0.55,0.68,0.63,50,12,28,34,0.68
948809,CSV,Netflix-eureka,implementation,LogisticRegressionModel,0.72,0.40,0.64,0.50,54,8,37,25,0.64
948809,CSV,Netflix-eureka,implementation,GaussianNaiveBayesModel,0.76,0.34,0.63,0.45,57,5,41,21,0.63
948809,CSV,Netflix-eureka,implementation,GradientBoostingRegressorModel,0.76,0.60,0.70,0.66,50,12,25,37,0.70
948809,CSV,Netflix-eureka,design,LinearSVMModel,0.78,0.77,0.75,0.76,32,12,10,34,0.75
948809,CSV,Netflix-eureka,design,RandomForestModel,0.69,0.72,0.68,0.68,28,16,12,32,0.68
948809,CSV,Netflix-eureka,design,DecisionTreeModel,0.50,0.53,0.53,0.48,23,21,21,23,0.52
948809,CSV,Netflix-eureka,design,LogisticRegressionModel,0.77,0.73,0.73,0.74,32,12,12,32,0.72
948809,CSV,Netflix-eureka,design,GaussianNaiveBayesModel,0.78,0.39,0.62,0.50,38,6,27,17,0.63
948809,CSV,Netflix-eureka,design,GradientBoostingRegressorModel,0.71,0.70,0.67,0.67,28,16,13,31,0.67

